name,address,city,state,website,careers_url,tags,lat,lng
See's Candies General Office,,Los Angeles,CA,,,company,34.025649,-118.372378
SM Entertainment USA Inc.,3731 Wilshire Boulevard Los Angeles CA 90010,Los Angeles,CA,https://www.smentertainment.com/,https://recruit.smentertainment.com/,company,34.062422,-118.307609
Live Nation,,Los Angeles,CA,,,company,34.073278,-118.394011
Launcher,12624 Daphne Avenue Hawthorne CA 90250,Hawthorne,CA,https://launcherspace.com,,company,33.917535,-118.319467
Avante Technologies,,Los Angeles,CA,,,it,34.033632,-118.380138
24webstudio,1901 Avenue of the Stars Los Angeles CA 90067,Los Angeles,CA,https://www.24webstudio.com/,,it,34.059530,-118.417689
Old Bull Lee,,Los Angeles,CA,https://www.oldbullshorts.com/,,company,33.886456,-118.396329
GoodSuite,,Los Angeles,CA,,,it,34.179600,-118.593366
Pair of Thieves,,Los Angeles,CA,,,company,34.033729,-118.371932
The Wonderful Company,,Los Angeles,CA,,,company,34.036310,-118.443540
Yahoo!,,Los Angeles,CA,,,company,33.982441,-118.402404
XR Studios,6700 Santa Monica Boulevard,Los Angeles,CA,,,company,34.090412,-118.336879
International Trading Company,18150 South Figueroa Street Gardena CA 90248,Gardena,CA,,,company,33.865706,-118.281165
MagicLinks,351 Vernon Avenue Venice CA 90291,Venice,CA,,,it,33.995233,-118.473306
"Abrams Valuation Group, Inc.",5540 Alcove Avenue Valley Village CA 91607,Valley Village,CA,https://abramsvaluation.com,,company,34.171515,-118.412966
MeUndies,,Los Angeles,CA,,,company,34.019359,-118.378027
Moose Toys,,Los Angeles,CA,https://www.moosetoys.com/,https://moosetoys.taleo.net/careersection/1_xxa_external_career_portal/jobsearch.ftl?lang=en,company,33.925836,-118.386189
Futurola USA,7190 West Sunset Boulevard Los Angeles CA 90046,Los Angeles,CA,https://futurola.com/,,company,34.097829,-118.346801
"Sanrio, Inc.",2050 West 190th Street Torrance CA 90504,Torrance,CA,https://www.sanrio.com/,https://www.sanrio.com/pages/business-opportunities,company,33.857986,-118.314890
Planet Express Shipping,Van Ness Avenue Gardena 90248,Gardena,CA,https://planetexpress.com/,,company,33.849511,-118.317027
Kite,,Los Angeles,CA,,,company,34.028487,-118.465475
XYZ,,Los Angeles,CA,,,company,34.029314,-118.465427
Epam,11601 Wilshire Boulevard Los Angeles CA 90025,Los Angeles,CA,https://www.epam.com/,,it,34.050914,-118.459871
Luxoft,5777 West Century Boulevard Los Angeles CA 90045,Los Angeles,CA,https://www.luxoft.com,https://career.luxoft.com/,it,33.946339,-118.382414
Security Guard Solutions,20501 Ventura Boulevard Woodland Hills CA 91364,Woodland Hills,CA,https://securitysolutionsnow.com/,https://securityguardsolutionsinc.com/hiring/,company,34.168219,-118.580213
Home Instead Senior Care,,Los Angeles,CA,https://www.homeinstead.com/location/275,https://www.homeinstead.com/home-care/usa/ca/long-beach/275/home-care-jobs,company,33.788179,-118.123873
Western Studio Service,9175 San Fernando Road 91352,Los Angeles,CA,https://westernstudioservice.com/,,company,34.235534,-118.390981
Superfilms!,1836 Hyperion Avenue 90027,Los Angeles,CA,,,company,34.096797,-118.275676
Casetta,1822 Hyperion Avenue 90027,Los Angeles,CA,,,company,34.096368,-118.275920
Hillcrest Security,3920 Fountain Avenue 90029,Los Angeles,CA,http://HillcrestSecurity.com,,company,34.095643,-118.278065
Good Time Society,3525 Glenhurst Avenue 90039,Los Angeles,CA,https://goodtimesociety.com/,,company,34.115736,-118.261882
Unruh - Boyer Architect,2311 Hyperion Avenue 90027,Los Angeles,CA,,,company,34.101572,-118.273336
MSG Sphere Studios,3401 Empire Avenue 91504,Los Angeles,CA,https://www.msgentertainment.com/msg-entertainment-opens-new-msg-sphere-studios-location-in-burbank/,https://www.msgentertainment.com/careers/,company,34.192914,-118.348268
So. California Trophy & Bronze,337 West Cerritos Avenue,Los Angeles,CA,,,company,34.124691,-118.258173
CIM Group,4700 Wilshire Boulevard Los Angeles CA 90010,Los Angeles,CA,https://www.cimgroup.com/,https://www.cimgroup.com/,company,34.061742,-118.332681
Blissy,1835 North Keystone Street,Los Angeles,CA,https://blissy.com/,,company,34.193120,-118.334307
Stealth Angel,1835 North Keystone Street,Los Angeles,CA,https://www.stealthangelsurvival.com/,https://www.stealthangelsurvival.com/pages/careers,company,34.193249,-118.334421
Deluxe Entertainment Services,,Los Angeles,CA,,,it,34.030014,-118.457670
Company 3,,Los Angeles,CA,,,it,34.089452,-118.333466
Netflix Production,,Los Angeles,CA,,,it,34.089158,-118.333448
AlphaTech Computer Repair,5254 Newcastle Avenue Encino 91316,Encino,CA,http://www.alphatech-ca.com/,,it,34.165932,-118.524186
Cloud Cover Music,,Los Angeles,CA,https://cloudcovermusic.com/,https://cloudcovermusic.com/services/brandmatch-custom-station-curation,it,33.930375,-118.396901
Lomita Business Machines,,Los Angeles,CA,http://lomitabusinessmachines.com/,,it,33.797776,-118.319769
Rejoule,2888 Gundry Avenue,Los Angeles,CA,,,company,33.809549,-118.174076
Cambrian Homecare,,Los Angeles,CA,,,company,33.989719,-118.379967
"VS America, Inc.",,Los Angeles,CA,,,company,33.989617,-118.379627
"AZ Power, Inc.",,Los Angeles,CA,,,company,33.989425,-118.379833
"WEST Builders, Inc.",,Los Angeles,CA,,,company,33.989820,-118.379689
JDJ Consulting Group,6350 Laurel Canyon Boulevard North Hollywood CA 91606,North Hollywood,CA,https://jdj-consulting.com/,https://jdj-consulting.com/careers,company,34.171026,-118.396195
Moe'z Towing,15720 Ventura Boulevard Encino CA 91436,Encino,CA,https://moeztowing.com,,company,34.155001,-118.475843
Cornerstone OnDemand,,Los Angeles,CA,https://www.cornerstoneondemand.com/contact-us/,https://www.cornerstoneondemand.com/careers/,it,34.028016,-118.472515
El Super Markets,600 Citadel Drive Commerce CA 90040,Commerce,CA,https://elsupermarkets.com/contact-us/,https://elsupermarkets.com/careers/,company,34.005658,-118.151607
Smart & Final,600 Citadel Drive Commerce CA 90040,Commerce,CA,https://www.smartandfinal.com/contact-us,https://www.smartandfinal.com/sm/pickup/rsid/522/careers,company,34.005858,-118.151237
Sidestilt Films,,Los Angeles,CA,https://www.sidestilt.com/,https://www.sidestilt.com/ourteam,company,34.145278,-118.140614
Good Company,2825 Glendale Boulevard Los Angeles CA 90039,Los Angeles,CA,https://goodco.tv/,,company,34.107940,-118.264056
Impulse Space,2651 Manhattan Beach Boulevard Redondo Beach CA 90278,Redondo Beach,CA,https://www.impulsespace.com,https://www.impulsespace.com/careers,company,33.887645,-118.363171
IONNA,20800 Madrona Avenue Torrance CA 90503,Torrance,CA,https://ionna.com/,https://www.ionna.com/careers/,company,33.841844,-118.343199
Varda,225 Aviation Boulevard El Segundo CA 90245,El Segundo,CA,https://www.varda.com,https://www.varda.com/careers,company,33.913231,-118.379302
Spike Chunsoft Inc.,5000 Airport Plaza Drive Long Beach CA 90815,Long Beach,CA,https://www.spike-chunsoft.com,https://www.spike-chunsoft.com/news/danganronpa-15th-anniversary-steam-limited-edition-bundle-pre-orders-available-now/,company,33.807411,-118.134608
Sunrider,1625 Abalone Avenue,Los Angeles,CA,https://sunrider.com,https://us.sunrider.com/join-us,company,33.832017,-118.312195
United Talent Agency,9340 Civic Center Drive Beverly Hills CA 90210,Beverly Hills,CA,,,company,34.074217,-118.397850
United Talent Agency,9328 Civic Center Drive Beverly Hills CA 90210,Beverly Hills,CA,,,company,34.075317,-118.397201
United Talent Agency,9330 N Santa Monica Blvd Beverly Hills CA 90210,Beverly Hills,CA,,,company,34.074997,-118.397064
United Talent Agency,9312 Civic Center Drive Beverly Hills CA 90210,Beverly Hills,CA,,,company,34.075672,-118.396708
United Talent Agency,9326 Civic Center Drive Beverly Hills CA 90210,Beverly Hills,CA,,,company,34.075559,-118.397006
United Talent Agency,405 Foothill Road Beverly Hills CA 90210,Beverly Hills,CA,,,company,34.075524,-118.396407
United Talent Agency,9320 Civic Center Drive Beverly Hills CA,Beverly Hills,CA,,,company,34.075432,-118.397059
United Talent Agency,,Los Angeles,CA,,,company,34.075657,-118.396941
United Talent Agency,311 Foothill Road Beverly Hills CA 90210,Beverly Hills,CA,,,company,34.073811,-118.396434
Infinity Ward,,Los Angeles,CA,https://www.infinityward.com/,https://careers.infinityward.com,it,34.174203,-118.594301
Mason Controls,13955 Balboa Boulevard Rancho Cascades CA 91342,Rancho Cascades,CA,,,company,34.322843,-118.489634
